k	5.10	5.15	5.20	10.20	10.30	15.30	courses	sushi	skate	14.9
213	0	0	0	5.84	14.55	20.06	113.26	7.47	0	1.41
214	0	0	0	5.79	14.53	20.04	113.12	7.43	0	1.41
215	0	0	0	5.77	14.5	20.01	112.96	7.38	0	1.35
216	0	0	0	5.74	14.44	19.98	112.8	7.33	0	1.3
217	0	0	0	5.73	14.4	19.96	112.66	7.27	0	1.3
218	0	0	0	5.7	14.34	19.93	112.5	7.23	0	1.25
219	0	0	0	5.67	14.25	19.93	112.31	7.19	0	1.25
220	0	0	0	5.65	14.18	19.90	112.16	7.14	0	1.2
221	0	0	0	5.64	14.09	19.85	112.04	7.06	0	1.2
222	0	0	0	5.57	14.03	19.79	111.9	7	0	1.2
223	0	0	0	5.51	14.03	19.77	111.71	6.96	0	1.15
224	0	0	0	5.51	14.03	19.71	111.61	6.85	0	1.15
225	0	0	0	5.51	13.95	19.66	111.45	6.8	0	1.15
226	0	0	0	5.48	13.93	19.57	111.32	6.73	0	1.1
227	0	0	0	5.41	13.87	19.50	111.12	6.69	0	1.1
228	0	0	0	5.34	13.77	19.47	110.97	6.66	0	1.1
229	0	0	0	5.31	13.74	19.39	110.82	6.59	0	1.1
230	0	0	0	5.29	13.7	19.34	110.67	6.52	0	1.1
231	0	0	0	5.25	13.66	19.26	110.5	6.5	0	1.05
232	0	0	0	5.22	13.63	19.22	110.39	6.49	0	1.05
233	0	0	0	5.17	13.61	19.17	110.2	6.46	0	1.05
234	0	0	0	5.16	13.6	19.16	110.07	6.41	0	1
235	0	0	0	5.11	13.57	19.13	109.92	6.38	0	1
236	0	0	0	5.07	13.48	19.12	109.76	6.33	0	1
237	0	0	0	5.07	13.38	19.09	109.62	6.29	0	1
238	0	0	0	5.02	13.31	19.03	109.47	6.25	0	1
239	0	0	0	4.98	13.27	18.96	109.32	6.19	0	1
240	0	0	0	4.94	13.26	18.92	109.2	6.13	0	1
241	0	0	0	4.93	13.1	18.88	109.01	6.12	0	1
242	0	0	0	4.9	13	18.79	108.85	6.1	0	1
243	0	0	0	4.81	12.98	18.75	108.7	6.05	0	1
244	0	0	0	4.78	12.95	18.74	108.56	6.03	0	1
245	0	0	0	4.75	12.91	18.74	108.4	6.03	0	1
246	0	0	0	4.72	12.82	18.72	108.26	6.02	0	1
247	0	0	0	4.68	12.82	18.70	108.07	5.97	0	1
248	0	0	0	4.68	12.76	18.69	107.94	5.96	0	1
249	0	0	0	4.67	12.64	18.66	107.76	5.94	0	1
250	0	0	0	4.64	12.56	18.66	107.61	5.93	0	1
251	0	0	0	4.62	12.49	18.63	107.45	5.92	0	1
252	0	0	0	4.58	12.42	18.56	107.3	5.92	0	1
253	0	0	0	4.56	12.39	18.40	107.15	5.88	0	1
254	0	0	0	4.53	12.31	18.34	107.02	5.87	0	1
255	0	0	0	4.49	12.25	18.32	106.85	5.85	0	1
256	0	0	0	4.48	12.23	18.30	106.71	5.83	0	1
257	0	0	0	4.48	12.18	18.29	106.57	5.79	0	1
258	0	0	0	4.45	12.12	18.18	106.39	5.76	0	1
259	0	0	0	4.42	12.03	18.12	106.24	5.74	0	1
260	0	0	0	4.39	11.98	18.07	106.09	5.73	0	1
261	0	0	0	4.39	11.96	18.01	105.92	5.7	0	1
262	0	0	0	4.37	11.9	18.01	105.79	5.68	0	1
263	0	0	0	4.33	11.84	17.97	105.64	5.67	0	1
264	0	0	0	4.31	11.79	17.95	105.51	5.67	0	1
265	0	0	0	4.28	11.76	17.93	105.34	5.66	0	1
266	0	0	0	4.26	11.72	17.93	105.17	5.65	0	1
267	0	0	0	4.22	11.7	17.93	105	5.62	0	1
268	0	0	0	4.17	11.7	17.93	104.85	5.61	0	1
269	0	0	0	4.15	11.65	17.93	104.7	5.6	0	1
270	0	0	0	4.08	11.62	17.92	104.56	5.56	0	1
271	0	0	0	4.07	11.6	17.92	104.39	5.52	0	1
272	0	0	0	4.05	11.51	17.92	104.26	5.52	0	1
273	0	0	0	4.02	11.45	17.90	104.09	5.48	0	1
274	0	0	0	3.99	11.36	17.80	103.94	5.47	0	1
275	0	0	0	3.95	11.33	17.76	103.76	5.46	0	1
276	0	0	0	3.93	11.24	17.69	103.61	5.45	0	1
277	0	0	0	3.9	11.2	17.68	103.45	5.43	0	1
278	0	0	0	3.86	11.1	17.68	103.31	5.43	0	1
279	0	0	0	3.8	11.06	17.65	103.16	5.41	0	1
280	0	0	0	3.76	11.03	17.61	103.02	5.39	0	1
281	0	0	0	3.7	10.96	17.49	102.85	5.37	0	1
282	0	0	0	3.67	10.95	17.47	102.69	5.34	0	1
283	0	0	0	3.6	10.93	17.47	102.51	5.32	0	1
284	0	0	0	3.6	10.88	17.45	102.35	5.31	0	1
285	0	0	0	3.54	10.77	17.44	102.21	5.29	0	1
286	0	0	0	3.52	10.73	17.43	102.06	5.27	0	1
287	0	0	0	3.48	10.67	17.42	101.92	5.27	0	1
288	0	0	0	3.43	10.67	17.34	101.79	5.19	0	1
289	0	0	0	3.4	10.64	17.25	101.65	5.18	0	1
290	0	0	0	3.37	10.64	17.23	101.46	5.13	0	1
291	0	0	0	3.31	10.61	17.23	101.31	5.11	0	1
292	0	0	0	3.27	10.57	17.22	101.17	5.08	0	1
293	0	0	0	3.23	10.55	17.21	101	5.06	0	1
294	0	0	0	3.2	10.51	17.20	100.84	5.04	0	1
295	0	0	0	3.17	10.49	17.18	100.67	5.02	0	1
296	0	0	0	3.1	10.44	17.08	100.55	4.98	0	1
297	0	0	0	3.08	10.36	17.07	100.41	4.95	0	1
298	0	0	0	3.08	10.32	16.94	100.25	4.89	0	1
299	0	0	0	3.03	10.31	16.90	100.09	4.86	0	1
300	0	0	0	3.01	10.28	16.86	99.95	4.8	0	1
301	0	0	0	2.98	10.23	16.80	99.79	4.73	0	
302	0	0	0	2.93	10.2	16.78	99.61	4.67	0	
303	0	0	0	2.92	10.17	16.76	99.46	4.63	0	
304	0	0	0	2.9	10.15	16.70	99.3	4.59	0	
305	0	0	0	2.88	10.15	16.67	99.14	4.53	0	
306	0	0	0	2.85	10.14	16.66	98.99	4.47	0	
307	0	0	0	2.83	10.05	16.64	98.82	4.41	0	
308	0	0	0	2.82	10.02	16.57	98.69	4.34	0	
309	0	0	0	2.75	9.98	16.54	98.52	4.26	0	
310	0	0	0	2.74	9.96	16.51	98.37	4.19	0	
311	0	0	0	2.7	9.95	16.50	98.22	4.14	0	
312	0	0	0	2.67	9.87	16.46	98.12	4.08	0	
313	0	0	0	2.64	9.77	16.45	97.92	4.01	0	
314	0	0	0	2.63	9.73	16.43	97.8	3.96	0	
315	0	0	0	2.61	9.72	16.40	97.62	3.89	0	
316	0	0	0	2.61	9.7	16.39	97.49	3.83	0	
317	0	0	0	2.58	9.66	16.34	97.3	3.77	0	
318	0	0	0	2.56	9.63	16.31	97.15	3.71	0	
319	0	0	0	2.54	9.6	16.28	96.99	3.65	0	
320	0	0	0	2.53	9.6	16.22	96.82	3.59	0	
321	0	0	0	2.5	9.57	16.22	96.65	3.54	0	
322	0	0	0	2.41	9.52	16.20	96.54	3.48	0	
323	0	0	0	2.37	9.48	16.19	96.37	3.42	0	
324	0	0	0	2.37	9.44	16.15	96.24	3.33	0	
325	0	0	0	2.34	9.44	16.14	96.05	3.23	0	
326	0	0	0	2.33	9.37	16.10	95.87	3.18	0	
327	0	0	0	2.32	9.35	16.08	95.72	3.1	0	
328	0	0	0	2.31	9.33	16.05	95.59	3.02	0	
329	0	0	0	2.29	9.3	16.02	95.44	2.96	0	
330	0	0	0	2.23	9.26	15.97	95.3	2.9	0	
331	0	0	0	2.22	9.22	15.96	95.14	2.83	0	
332	0	0	0	2.22	9.18	15.91	94.99	2.77	0	
333	0	0	0	2.21	9.1	15.90	94.85	2.72	0	
334	0	0	0	2.18	9.07	15.88	94.65	2.63	0	
335	0	0	0	2.17	9.05	15.80	94.5	2.54	0	
336	0	0	0	2.14	9.03	15.80	94.35	2.48	0	
337	0	0	0	2.11	8.98	15.77	94.19	2.41	0	
338	0	0	0	2.08	8.95	15.75	94.05	2.34	0	
339	0	0	0	2.02	8.9	15.73	93.89	2.3	0	
340	0	0	0	2	8.85	15.72	93.74	2.26	0	
341	0	0	0	1.99	8.84	15.69	93.6	2.18	0	
342	0	0	0	1.97	8.81	15.63	93.42	2.1	0	
343	0	0	0	1.96	8.79	15.63	93.24	2.07	0	
344	0	0	0	1.93	8.76	15.62	93.09	2.02	0	
345	0	0	0	1.92	8.76	15.59	92.92	1.99	0	
346	0	0	0	1.88	8.73	15.56	92.8	1.96	0	
347	0	0	0	1.86	8.7	15.52	92.62	1.91	0	
348	0	0	0	1.82	8.68	15.52	92.5	1.83	0	
349	0	0	0	1.79	8.59	15.51	92.36	1.76	0	
350	0	0	0	1.76	8.57	15.50	92.2	1.69	0	
351	0	0	0	1.75	8.48	15.49	92.04	1.64	0	
352	0	0	0	1.71	8.48	15.45	91.86	1.61	0	
353	0	0	0	1.66	8.48	15.36	91.71	1.54	0	
354	0	0	0	1.63	8.45	15.34	91.57	1.48	0	
355	0	0	0	1.58	8.43	15.34	91.4	1.43	0	
356	0	0	0	1.56	8.38	15.33	91.25	1.38	0	
357	0	0	0	1.51	8.33	15.30	91.1	1.34	0	
358	0	0	0	1.49	8.3	15.28	90.95	1.29	0	
359	0	0	0	1.47	8.28	15.28	90.79	1.23	0	
360	0	0	0	1.47	8.24	15.27	90.66	1.07	0	
