k	5.10	5.15	5.20	10.20	10.30	15.30	courses	sushi	skate	14.9
147	0	0	0.0015	0.456	0.6256666667	0.7472333333	0.8445205479	0.4323333333	0	0.37
148	0	0	0.001	0.4525	0.623	0.7469	0.8434246575	0.429	0	0.3677777778
149	0	0	0.001	0.4505	0.6206666667	0.7462666667	0.8423972603	0.4256666667	0	0.3622222222
150	0	0	0.001	0.446	0.6203333333	0.7454333333	0.8414383562	0.423	0	0.3622222222
151	0	0	0.001	0.442	0.6193333333	0.7440666667	0.8406849315	0.4203333333	0	0.3611111111
152	0	0	0.0005	0.441	0.617	0.7429666667	0.8396575342	0.417	0	0.3577777778
153	0	0	0	0.4385	0.613	0.7424	0.838630137	0.4133333333	0	0.3533333333
154	0	0	0	0.434	0.608	0.7418333333	0.8376027397	0.409	0	0.35
155	0	0	0	0.428	0.6063333333	0.7415666667	0.836369863	0.4056666667	0	0.3466666667
156	0	0	0	0.426	0.6053333333	0.7404333333	0.8353424658	0.4006666667	0	0.3433333333
157	0	0	0	0.4235	0.6043333333	0.7376666667	0.8342465753	0.399	0	0.3422222222
158	0	0	0	0.419	0.6033333333	0.7353333333	0.8332191781	0.3956666667	0	0.3388888889
159	0	0	0	0.4155	0.6016666667	0.7345	0.8321232877	0.3916666667	0	0.3355555556
160	0	0	0	0.4125	0.599	0.7337	0.8309589041	0.3896666667	0	0.3333333333
161	0	0	0	0.4105	0.5986666667	0.7333333333	0.8299315068	0.385	0	0.33
162	0	0	0	0.4085	0.5923333333	0.7325	0.8289041096	0.38	0	0.3266666667
163	0	0	0	0.4	0.589	0.7298666667	0.827739726	0.376	0	0.3255555556
164	0	0	0	0.398	0.5883333333	0.7259666667	0.8266438356	0.3723333333	0	0.3244444444
165	0	0	0	0.395	0.585	0.7256333333	0.8256849315	0.3683333333	0	0.3211111111
166	0	0	0	0.3935	0.5833333333	0.7252666667	0.8247260274	0.3666666667	0	0.3155555556
167	0	0	0	0.392	0.5826666667	0.7235	0.8236986301	0.3656666667	0	0.3122222222
168	0	0	0	0.3875	0.582	0.7221666667	0.8225342466	0.364	0	0.31
169	0	0	0	0.386	0.582	0.7211333333	0.8215068493	0.3613333333	0	0.3088888889
170	0	0	0	0.386	0.5786666667	0.7207333333	0.8204794521	0.3576666667	0	0.3088888889
171	0	0	0	0.3825	0.5753333333	0.7191	0.8195205479	0.3543333333	0	0.3044444444
172	0	0	0	0.3805	0.5716666667	0.7179666667	0.8182876712	0.351	0	0.3022222222
173	0	0	0	0.379	0.5666666667	0.7171666667	0.8173972603	0.347	0	0.2988888889
174	0	0	0	0.378	0.5666666667	0.7142333333	0.8165068493	0.3433333333	0	0.2955555556
175	0	0	0	0.375	0.5643333333	0.7133	0.8156849315	0.3386666667	0	0.2955555556
176	0	0	0	0.373	0.5606666667	0.7111666667	0.8145205479	0.337	0	0.2933333333
